Id,Estado,Anio,DIA_ING_MU_20_59,DIA_ING_MU_60_MAS,DIA_ING_HO_20_59,DIA_ING_HO_60_MAS,DIA_TRA_MU_20_59,DIA_TRA_MU_60_MAS,DIA_TRA_HO_20_59,DIA_TRA_HO_60_MAS,DIA_CON_MU_20_59,DIA_CON_MU_60_MAS,DIA_CON_HO_20_59,DIA_CON_MU_60_MAS,OBE_ING_MU_20_59,OBE_ING_MU_60_MAS,OBE_ING_HO_20_59,OBE_ING_HO_60_MAS,OBE_TRA_MU_20_59,OBE_TRA_MU_60_MAS,OBE_TRA_HO_20_59,OBE_TRA_HO_60_MAS,OBE_CON_MU_20_59,OBE_CON_MU_60_MAS,OBE_CON_HO_20_59,OBE_CON_MU_60_MAS
8,Coahuila,2013,426,187,210,91,22531,13219,7260,5953,8467,5580,2950,2630,855,243,311,243,18882,7612,4146,7612,5462,2018,1232,814
9,Colima,2013,270,98,208,92,28640,18445,15363,11100,10243,8249,5412,5080,508,98,217,98,25396,13928,9780,13928,8895,5789,3294,2700
10,Durango,2013,330,168,203,125,39345,23159,17816,14468,18906,11737,8513,7112,1062,197,336,197,51775,17867,16309,17867,19405,6950,6634,3359
11,Guanajuato,2013,2365,904,1474,732,192169,117048,95619,69497,114344,76156,55132,43106,1840,634,755,634,170791,83571,51062,83571,102963,54084,29912,20663
12,Guerrero,2013,2568,799,1305,648,228330,125942,96112,58694,85703,52904,36983,23863,3031,539,1024,539,172715,49873,53388,49873,43331,14230,12477,5836
13,Hidalgo,2013,1765,953,765,509,108576,74513,40523,32153,38161,32198,15063,14411,1882,539,513,539,86785,40984,22422,40984,20172,10236,4413,3529
14,Jalisco,2013,2303,898,1522,827,159975,111356,83913,71233,64821,50328,31549,29506,2012,638,657,638,138431,68295,45313,68295,43350,23095,14433,9151
15,Mexico,2013,8802,4030,5280,2546,444409,252048,222511,133634,158284,101162,72432,48775,7548,1339,2969,1339,244996,74121,81354,74121,52166,19029,19444,6411
16,Michoacan,2013,1497,598,815,426,100327,63355,40897,33466,32801,23375,13899,11812,1714,391,602,391,76331,30080,27531,30080,14424,6068,4961,2595
17,Morelos,2013,1130,433,720,327,89044,46531,41996,24637,27576,18400,14138,9668,794,144,296,144,36153,12085,11633,12085,8245,3460,2765,1428
18,Nayarit,2013,370,128,238,129,36454,23075,16619,14737,10665,7939,4946,4616,485,135,212,135,23170,10327,8227,10327,4089,1969,1702,1117
19,Nuevo Leon,2013,1371,400,829,250,106483,60596,49655,31076,64795,37104,28884,18027,1810,382,685,382,63881,23048,22679,23048,34958,11654,11805,5374
20,Oaxaca,2013,2161,707,1175,440,170855,88362,70364,41653,59661,34267,24778,15946,2114,313,655,313,92676,24154,27495,24154,13013,4568,3725,1604
21,Puebla,2013,2716,1065,1380,559,217475,137227,89716,58037,95545,65379,41812,29249,4590,1172,1604,1172,109647,41524,37299,41524,28771,9298,8938,3613
22,Queretaro,2013,962,336,591,243,76328,43676,38186,19334,32614,19895,14640,8137,882,295,373,295,64353,29204,21017,29204,19449,9771,6081,3616
23,Quintana Roo,2013,681,187,396,131,47810,22034,17563,10561,14722,7033,5410,3511,850,225,340,225,37319,12093,11112,12093,10459,3490,3062,1711
24,San Luis Potosi,2013,1367,405,733,305,135970,76821,58309,40016,66210,40488,28152,20862,1972,458,781,458,126016,46173,45300,46173,46855,18606,18220,8520
25,Sinaloa,2013,2464,1116,1456,813,84095,55573,43585,37637,32877,22343,14632,13901,19928,2729,6730,2729,449250,69797,146526,69797,59786,11789,14947,5953
26,Sonora,2013,1153,381,669,299,58546,33752,24745,18883,22677,13350,8553,7210,2802,402,884,402,59167,18866,15787,18866,14599,5357,3747,2410
27,Tabasco,2013,1518,332,740,210,162988,68431,63256,31885,80081,32832,29986,15270,1839,187,653,187,85930,20666,33772,20666,27293,7077,11070,3816
28,Tamaulipas,2013,1705,741,1022,562,136233,71075,64612,44171,84465,46073,41031,27499,1921,534,830,534,121163,52200,45987,52200,71577,27262,25187,15418
29,Tlaxcala,2013,565,192,362,130,62365,39758,30851,22053,31481,22072,15003,11846,697,263,336,263,60569,24146,25311,24146,24304,10802,10783,4884
30,Veracruz,2013,3167,1071,1583,618,340040,193723,113642,74715,98346,61083,35332,25182,3194,702,973,702,135772,53311,39451,53311,20416,9373,6137,3600
31,Yucatan,2013,467,147,219,90,75670,42228,26874,16319,31110,19274,11410,7683,881,218,465,218,81197,27323,28494,27323,23666,9092,8398,4107
32,Zacatecas,2013,655,249,423,208,63957,45762,29455,25379,27758,21758,12375,11817,1143,358,481,358,87738,41770,26594,41770,25818,14121,8860,6760
1,Aguascalientes,2014,580,200,364,112,35649,16167,17481,8819,12267,6234,5880,3260,890,282,389,282,44619,14801,13758,14801,8917,3832,2730,1577
2,Baja California,2014,1514,600,1027,538,55420,28895,35384,21391,18119,10605,11215,7842,1214,209,372,209,43929,12344,14047,12344,11824,3598,3510,1743
3,Baja California Sur,2014,323,66,258,58,16207,5960,10042,5148,5808,2442,3332,1870,547,49,215,49,19817,5504,7140,5504,4920,1946,1926,1085
4,Campeche,2014,348,88,185,54,38703,16372,13604,8146,16724,7034,5791,3482,544,91,293,91,26776,9159,11218,9159,9093,3243,3853,1548
5,Chiapas,2014,2852,1060,1277,589,132519,59524,43903,27731,42239,21278,14931,9232,1866,268,684,268,78080,15264,21026,15264,15060,2974,3585,1264
